A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,0.0,0.0,#,#,#,#,1.0,#,0.0,#,1.0,0.2029748742477302,0.7269230769230769,1,76.83009551600176,4959,686,0.36363636363636365,0.0009447137042552959,189,260
1.0,1.0,#,#,#,#,#,#,#,0.0,#,0.0,0.238823918690063,0.7509578544061303,2,71.3135138195232,4935,688,0.2727272727272727,0.0017537620733497942,392,522
#,#,#,#,0.0,1.0,#,1.0,1.0,1.0,#,1.0,0.10378168327911544,0.6356589147286822,1,71.13400964617583,4997,702,0.45454545454545453,0.0008746738280102019,82,129
#,1.0,1.0,0.0,#,#,#,#,#,#,1.0,1.0,0.22341489409232135,0.7410071942446043,1,74.62700638842864,4975,761,0.36363636363636365,0.0009176242092268706,206,278
#,0.0,#,#,1.0,1.0,#,1.0,1.0,#,#,1.0,0.4740314985715719,0.8613138686131386,2,87.9929596267511,4953,842,0.45454545454545453,0.002163947715516278,118,137
0.0,1.0,#,#,#,1.0,#,#,0.0,#,#,1.0,0.2745687824705988,0.7722007722007722,1,67.79239597228415,4962,898,0.36363636363636365,0.0008335848743801124,200,259
#,0.0,0.0,0.0,#,#,#,#,#,0.0,#,0.0,0.28699990784712964,0.7790697674418605,1,70.27121881813089,4954,928,0.36363636363636365,0.0008640648301469875,201,258
#,0.0,#,#,#,1.0,#,1.0,1.0,#,#,1.0,0.1662451530266032,0.6984732824427481,1,71.26427340417106,4997,936,0.36363636363636365,0.0008762755695740956,183,262
0.0,#,1.0,#,1.0,#,#,#,0.0,#,1.0,1.0,0.21848085858476907,0.7377049180327869,1,60.50631038195185,4949,1015,0.45454545454545453,0.0007439941370351307,90,122
1.0,0.0,#,0.0,#,#,#,#,0.0,#,#,0.0,0.2698837056918838,0.7695473251028807,1,79.53193604291735,4960,1028,0.36363636363636365,0.000977935916922699,187,243
1.0,1.0,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,1.0,15,68.479455312819,4974,1030,0.36363636363636365,0.012630495795846868,196,196
#,0.0,1.0,#,0.0,#,#,#,#,#,#,0.0,0.2862983684423571,0.7786885245901639,1,70.38776775640346,4994,1096,0.2727272727272727,0.0008654979323507922,380,488
0.0,#,1.0,#,#,#,1.0,#,#,#,1.0,1.0,0.2403865252435786,0.751937984496124,2,73.8448664761634,4975,1097,0.36363636363636365,0.0018160138128268846,194,258
#,#,0.0,#,0.0,#,0.0,0.0,#,0.0,1.0,0.0,0.20562798495676804,0.7288135593220338,1,66.32249856160657,4903,1103,0.5454545454545454,0.0008155108082424844,43,59
#,0.0,1.0,#,#,#,#,#,1.0,#,#,1.0,0.21150352431414018,0.7329317269076305,1,63.6142421816686,4997,1104,0.2727272727272727,0.000802542119319206,365,498
1.0,1.0,1.0,#,#,#,#,#,#,#,0.0,0.0,1.0,1.0,11,57.289433613501686,4998,1105,0.36363636363636365,0.007488100539916742,236,236
0.0,1.0,#,#,0.0,1.0,#,#,0.0,#,#,1.0,0.28462802079628785,0.7777777777777778,1,71.86501681656149,4920,1115,0.45454545454545453,0.0008836623954086168,98,126
0.0,#,0.0,#,1.0,1.0,#,0.0,#,#,#,1.0,0.21720617794361205,0.7368421052631579,1,76.06701007381876,4962,1119,0.45454545454545453,0.0009353306978968325,70,95
#,#,1.0,#,0.0,1.0,0.0,#,#,#,0.0,0.0,0.36131873917399904,0.8157894736842105,1,66.5583990788688,4924,1141,0.45454545454545453,0.0008184114743161343,93,114
0.0,#,#,1.0,#,#,1.0,0.0,#,#,#,1.0,0.240485670060032,0.752,1,74.12855943232196,4937,1148,0.36363636363636365,0.0009114952350649129,188,250
0.0,#,0.0,0.0,#,#,#,#,#,#,1.0,0.0,0.2278137396050989,0.7439024390243902,3,73.95345747803188,4976,1150,0.36363636363636365,0.0027280264701222555,183,246
#,#,#,#,#,0.0,#,#,0.0,#,#,0.0,0.13636419473247985,0.6713362068965517,1,69.41924781928863,4998,1157,0.18181818181818182,0.0008671737982474042,623,928
1.0,#,1.0,#,#,#,#,#,0.0,1.0,#,0.0,0.3581333910966601,0.8143459915611815,3,73.83356983608498,4998,1163,0.36363636363636365,0.0028050681206177597,193,237
#,#,0.0,1.0,#,1.0,#,#,0.0,#,#,1.0,0.23562644326641038,0.7489361702127659,1,63.80113931659439,4942,1178,0.36363636363636365,0.0007845078189045668,176,235
#,1.0,0.0,#,#,#,#,#,#,0.0,#,0.0,0.24986724368987112,0.7577777777777778,3,78.00383561586384,4976,1202,0.2727272727272727,0.0028774385348292013,341,450
#,#,1.0,#,0.0,#,#,1.0,0.0,#,#,0.0,0.2786234263135277,0.774468085106383,1,74.99641869119547,4998,1208,0.36363636363636365,0.0009528958990445861,182,235
0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,0.0,1.0,1.0,13,78.62874460325968,4976,1248,0.36363636363636365,0.012568791916639423,224,224
#,0.0,1.0,#,#,#,#,0.0,1.0,#,#,1.0,0.21512700202082838,0.7354260089686099,1,58.24776062356107,4965,1259,0.36363636363636365,0.0007200583504665176,164,223
#,0.0,1.0,#,#,#,#,1.0,1.0,1.0,1.0,1.0,0.15774104955529852,0.6911764705882353,1,74.96116908516416,4746,1325,0.5454545454545454,0.00092173312093571,47,68
1.0,#,1.0,0.0,#,0.0,#,#,#,#,0.0,0.0,0.27550608968587587,0.7727272727272727,1,66.00358072624242,4998,1332,0.45454545454545453,0.0008146743920852946,85,110
#,#,0.0,1.0,#,1.0,#,#,#,1.0,#,1.0,0.649790109152045,0.9173913043478261,2,74.8627555261827,4980,1353,0.36363636363636365,0.0018410460278334207,211,230
#,1.0,1.0,#,#,#,#,#,0.0,#,0.0,0.0,0.2291450641231761,0.7447698744769874,1,62.72689965372356,4998,1370,0.36363636363636365,0.0007643112255928459,178,239
#,#,#,#,#,#,1.0,#,0.0,#,0.0,0.0,0.08150055231806255,0.6056644880174292,1,70.13984373012367,4998,1371,0.2727272727272727,0.0008782494845983084,278,459
#,#,1.0,#,0.0,1.0,#,#,#,#,0.0,0.0,0.20528663711548756,0.7285714285714285,1,66.69149031167566,4929,1419,0.36363636363636365,0.0008200479829096019,153,210
0.0,#,0.0,0.0,#,0.0,#,#,#,#,#,0.0,1.0,1.0,12,79.73181367962744,4976,1423,0.36363636363636365,0.011764723686840017,225,225
1.0,0.0,#,#,1.0,0.0,0.0,#,0.0,#,#,0.0,0.4779830563763579,0.8627450980392157,3,58.91030024742026,4940,1434,0.5454545454545454,0.002173108113106831,44,51
#,0.0,1.0,#,0.0,#,#,#,#,#,0.0,0.0,0.2770383778382806,0.7735849056603774,2,73.73304482814174,4984,1440,0.36363636363636365,0.0018132638632762826,164,212
0.0,#,#,#,#,1.0,#,1.0,#,1.0,0.0,1.0,0.18077945508181315,0.7102803738317757,1,69.97006318150497,4980,1459,0.45454545454545453,0.0008603617779104459,76,107
#,#,0.0,1.0,#,#,#,0.0,#,1.0,#,1.0,0.09802127962964617,0.6284403669724771,1,58.7294997142791,4942,1491,0.36363636363636365,0.0007221462221478215,137,218
0.0,#,0.0,1.0,#,#,#,0.0,#,1.0,#,1.0,0.25126003423796484,0.7586206896551724,2,70.82864090652501,4942,1508,0.45454545454545453,0.0017418379417278008,88,116
1.0,#,0.0,#,#,#,#,#,#,0.0,#,0.0,0.26447861018513086,0.7664399092970522,3,74.82131161382789,4954,1522,0.2727272727272727,0.0027600402411533105,338,441
1.0,#,1.0,#,#,#,#,#,1.0,#,1.0,1.0,1.0,1.0,10,74.72228744469075,4974,1543,0.36363636363636365,0.009187957985500674,214,214
