Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
35,,,29,29,2,1,35.0,0,0,0,1,0,0.003960847854614258,0.0007948875427246094,3.337860107421875e-05,9.012222290039062e-05,2.09808349609375e-05,0.001847982406616211
36,,,30,30,2,1,36.0,0,0,0,1,0,0.004086971282958984,0.0008358955383300781,3.4332275390625e-05,9.226799011230469e-05,2.09808349609375e-05,0.001895904541015625
37,,,31,31,1,1,37.0,0,0,0,1,0,0.00420689582824707,0.0008790493011474609,3.528594970703125e-05,9.441375732421875e-05,2.09808349609375e-05,0.0019419193267822266
38,,,31,31,2,1,35.0,0,0,0,0,0,0.004319906234741211,0.0009200572967529297,3.528594970703125e-05,9.655952453613281e-05,2.09808349609375e-05,0.001988649368286133
39,,,31,31,1,1,37.0,0,0,0,0,0,0.00442814826965332,0.0009620189666748047,3.62396240234375e-05,9.822845458984375e-05,2.09808349609375e-05,0.0020325183868408203
40,,,31,31,3,2,18.0,0,0,0,0,0,0.004546165466308594,0.0010039806365966797,3.719329833984375e-05,0.00010013580322265625,2.09808349609375e-05,0.002079486846923828
41,,,32,32,2,1,41.0,0,0,0,1,0,0.004669904708862305,0.0010447502136230469,3.790855407714844e-05,0.00010132789611816406,2.09808349609375e-05,0.002125263214111328
42,,,33,33,2,1,42.0,0,0,0,1,0,0.004797935485839844,0.0010895729064941406,3.886222839355469e-05,0.00010251998901367188,2.09808349609375e-05,0.002172231674194336
43,,,33,33,2,2,28.5,0,0,0,0,0,0.00492095947265625,0.0011363029479980469,3.981590270996094e-05,0.00010442733764648438,2.09808349609375e-05,0.0022211074829101562
44,,,33,33,3,3,25.666666666666668,0,0,0,0,0,0.0050449371337890625,0.0011813640594482422,4.076957702636719e-05,0.00010633468627929688,2.09808349609375e-05,0.002269268035888672
45,,,34,34,2,1,45.0,0,0,0,1,0,0.005168914794921875,0.0012233257293701172,4.076957702636719e-05,0.00010824203491210938,2.09808349609375e-05,0.002315998077392578
46,,,34,34,1,1,35.0,0,0,0,0,0,0.005279064178466797,0.0012674331665039062,4.1484832763671875e-05,0.00011014938354492188,2.09808349609375e-05,0.0023610591888427734
47,,,35,35,2,1,47.0,0,0,0,1,0,0.005408048629760742,0.0013163089752197266,4.2438507080078125e-05,0.00011110305786132812,2.09808349609375e-05,0.002408266067504883
48,,,36,37,2,1,48.0,0,0,1,0,0,0.005620002746582031,0.0013651847839355469,4.315376281738281e-05,0.00014090538024902344,3.3855438232421875e-05,0.0024552345275878906
49,,,36,37,3,1,30.0,0,0,0,0,0,0.005755901336669922,0.0014200210571289062,4.4345855712890625e-05,0.00014209747314453125,3.3855438232421875e-05,0.002507925033569336
50,,,36,37,2,2,34.0,0,0,0,0,0,0.00587916374206543,0.0014691352844238281,4.5299530029296875e-05,0.00014328956604003906,3.3855438232421875e-05,0.00255584716796875
51,,,36,37,1,1,48.0,0,0,0,0,0,0.005995035171508789,0.00151824951171875,4.649162292480469e-05,0.00014519691467285156,3.3855438232421875e-05,0.0026009082794189453
52,,,38,39,3,2,52.0,0,1,2,0,0,0.0062808990478515625,0.0015714168548583984,4.76837158203125e-05,0.00018644332885742188,5.221366882324219e-05,0.002647876739501953
53,,,38,39,1,1,48.0,0,0,0,0,0,0.006410121917724609,0.0016236305236816406,4.863739013671875e-05,0.00018858909606933594,5.221366882324219e-05,0.002701282501220703
54,,,39,40,3,1,54.0,0,0,0,1,0,0.006554841995239258,0.0016765594482421875,4.863739013671875e-05,0.00019073486328125,5.221366882324219e-05,0.002750396728515625
55,,,40,42,3,1,55.0,0,0,1,0,0,0.006787776947021484,0.0017366409301757812,4.982948303222656e-05,0.00022554397583007812,6.437301635742188e-05,0.002799510955810547
56,,,40,42,2,1,48.0,0,0,0,0,0,0.00689697265625,0.0017917156219482422,5.078315734863281e-05,0.00022745132446289062,6.437301635742188e-05,0.002829313278198242
57,,,40,42,2,1,47.0,0,0,0,0,0,0.0070269107818603516,0.0018477439880371094,5.173683166503906e-05,0.00022864341735839844,6.437301635742188e-05,0.0028791427612304688
